epoch,epochs_total,step,steps_total,loss,logits_loss,aux_loss,lr
1,1,10400,56608,1.809,1.809,0.0,9.27e-06
1,1,10500,56608,1.8154,1.8154,0.0,9.26e-06
1,1,10600,56608,1.6435,1.6435,0.0,9.24e-06
1,1,10700,56608,1.5994,1.5994,0.0,9.23e-06
1,1,10800,56608,1.6022,1.6022,0.0,9.22e-06
1,1,10900,56608,1.7504,1.7504,0.0,9.2e-06
1,1,11000,56608,1.6577,1.6577,0.0,9.19e-06
1,1,11100,56608,1.6836,1.6836,0.0,9.17e-06
1,1,11200,56608,1.6022,1.6022,0.0,9.16e-06
1,1,11300,56608,1.6372,1.6372,0.0,9.14e-06
1,1,11400,56608,1.6918,1.6918,0.0,9.13e-06
1,1,11500,56608,1.8571,1.8571,0.0,9.11e-06
1,1,11600,56608,1.3383,1.3383,0.0,9.1e-06
1,1,11700,56608,1.7197,1.7197,0.0,9.08e-06
1,1,11800,56608,1.604,1.604,0.0,9.07e-06
1,1,11900,56608,1.7674,1.7674,0.0,9.05e-06
1,1,12000,56608,1.4955,1.4955,0.0,9.04e-06
1,1,12100,56608,1.8271,1.8271,0.0,9.02e-06
1,1,12200,56608,1.6476,1.6476,0.0,9.01e-06
1,1,12300,56608,1.6048,1.6048,0.0,8.99e-06
1,1,12400,56608,1.6486,1.6486,0.0,8.98e-06
1,1,12500,56608,1.6554,1.6554,0.0,8.96e-06
1,1,12600,56608,1.8127,1.8127,0.0,8.94e-06
1,1,12700,56608,1.7216,1.7216,0.0,8.93e-06
1,1,12800,56608,1.629,1.629,0.0,8.91e-06
1,1,12900,56608,1.6381,1.6381,0.0,8.9e-06
1,1,13000,56608,1.6423,1.6423,0.0,8.88e-06
1,1,13100,56608,1.5315,1.5315,0.0,8.86e-06
1,1,13200,56608,1.7255,1.7255,0.0,8.85e-06
1,1,13300,56608,1.7837,1.7837,0.0,8.83e-06
1,1,13400,56608,1.78,1.78,0.0,8.81e-06
1,1,13500,56608,1.5484,1.5484,0.0,8.8e-06
1,1,13600,56608,1.6768,1.6768,0.0,8.78e-06
1,1,13700,56608,1.6645,1.6645,0.0,8.76e-06
1,1,13800,56608,1.8006,1.8006,0.0,8.74e-06
1,1,13900,56608,1.7994,1.7994,0.0,8.73e-06
1,1,14000,56608,1.5688,1.5688,0.0,8.71e-06
1,1,14100,56608,1.8185,1.8185,0.0,8.69e-06
1,1,14200,56608,1.6615,1.6615,0.0,8.67e-06
1,1,14300,56608,1.694,1.694,0.0,8.66e-06
1,1,14400,56608,1.797,1.797,0.0,8.64e-06
1,1,14500,56608,1.4743,1.4743,0.0,8.62e-06
1,1,14600,56608,1.9384,1.9384,0.0,8.6e-06
1,1,14700,56608,1.6497,1.6497,0.0,8.58e-06
