step,loss,logits_loss,aux_loss,lr
13500,1.5484,1.5484,0.0,8.8e-06
13600,1.6768,1.6768,0.0,8.78e-06
13700,1.6645,1.6645,0.0,8.76e-06
13800,1.8006,1.8006,0.0,8.74e-06
13900,1.7994,1.7994,0.0,8.73e-06
14000,1.5688,1.5688,0.0,8.71e-06
14100,1.8185,1.8185,0.0,8.69e-06
14200,1.6615,1.6615,0.0,8.67e-06
14300,1.694,1.694,0.0,8.66e-06
14400,1.797,1.797,0.0,8.64e-06
14500,1.4743,1.4743,0.0,8.62e-06
14600,1.9384,1.9384,0.0,8.6e-06
14700,1.6497,1.6497,0.0,8.58e-06
14800,1.6098,1.6098,0.0,8.57e-06
14900,1.7153,1.7153,0.0,8.55e-06
15000,1.5239,1.5239,0.0,8.53e-06
15100,1.6622,1.6622,0.0,8.51e-06
15200,1.6749,1.6749,0.0,8.49e-06
15300,1.5148,1.5148,0.0,8.47e-06
15400,1.6951,1.6951,0.0,8.45e-06
15500,1.5645,1.5645,0.0,8.44e-06
15600,1.5913,1.5913,0.0,8.42e-06
15700,1.6824,1.6824,0.0,8.4e-06
15800,1.6978,1.6978,0.0,8.38e-06
15900,1.5148,1.5148,0.0,8.36e-06
16000,1.6758,1.6758,0.0,8.34e-06
16100,1.4081,1.4081,0.0,8.32e-06
16200,1.409,1.409,0.0,8.3e-06
16300,1.7565,1.7565,0.0,8.28e-06
16400,1.5498,1.5498,0.0,8.26e-06
16500,1.5697,1.5697,0.0,8.24e-06
16600,1.655,1.655,0.0,8.22e-06
16700,1.6539,1.6539,0.0,8.2e-06
16800,1.8031,1.8031,0.0,8.18e-06
16900,1.5965,1.5965,0.0,8.16e-06
17000,1.4915,1.4915,0.0,8.14e-06
17100,1.65,1.65,0.0,8.12e-06
17200,1.651,1.651,0.0,8.1e-06
17300,1.5442,1.5442,0.0,8.08e-06
17400,1.4486,1.4486,0.0,8.06e-06
17500,1.6762,1.6762,0.0,8.04e-06
17600,1.6194,1.6194,0.0,8.02e-06
17700,1.5029,1.5029,0.0,8e-06
17800,1.6987,1.6987,0.0,7.98e-06
17900,1.6256,1.6256,0.0,7.96e-06
18000,1.6057,1.6057,0.0,7.94e-06
18100,1.7929,1.7929,0.0,7.91e-06
18200,1.6952,1.6952,0.0,7.89e-06
18300,1.5827,1.5827,0.0,7.87e-06
18400,1.51,1.51,0.0,7.85e-06
18500,1.6754,1.6754,0.0,7.83e-06
18600,1.6532,1.6532,0.0,7.81e-06
18700,1.467,1.467,0.0,7.79e-06
18800,1.7301,1.7301,0.0,7.76e-06
18900,1.6623,1.6623,0.0,7.74e-06
19000,1.453,1.453,0.0,7.72e-06
19100,1.671,1.671,0.0,7.7e-06
19200,1.5753,1.5753,0.0,7.68e-06
19300,1.6902,1.6902,0.0,7.66e-06
19400,1.8149,1.8149,0.0,7.63e-06
19500,1.36,1.36,0.0,7.61e-06
19600,1.6557,1.6557,0.0,7.59e-06
19700,1.7891,1.7891,0.0,7.57e-06
19800,1.4538,1.4538,0.0,7.55e-06
19900,1.575,1.575,0.0,7.52e-06
20000,1.5731,1.5731,0.0,7.5e-06
20100,1.6491,1.6491,0.0,7.48e-06
20200,1.775,1.775,0.0,7.46e-06
20300,1.7939,1.7939,0.0,7.43e-06
20400,1.5197,1.5197,0.0,7.41e-06
20500,1.3766,1.3766,0.0,7.39e-06
20600,1.684,1.684,0.0,7.37e-06
20700,1.5522,1.5522,0.0,7.34e-06
20800,1.3793,1.3793,0.0,7.32e-06
20900,1.6222,1.6222,0.0,7.3e-06
21000,2.0388,2.0388,0.0,7.27e-06
21100,1.729,1.729,0.0,7.25e-06
21200,1.4606,1.4606,0.0,7.23e-06
21300,1.6775,1.6775,0.0,7.21e-06
21400,1.6717,1.6717,0.0,7.18e-06
21500,1.6955,1.6955,0.0,7.16e-06
21600,1.6421,1.6421,0.0,7.14e-06
21700,1.6084,1.6084,0.0,7.11e-06
21800,1.6132,1.6132,0.0,7.09e-06
21900,1.4425,1.4425,0.0,7.07e-06
22000,1.618,1.618,0.0,7.04e-06
22100,1.3745,1.3745,0.0,7.02e-06
22200,1.6818,1.6818,0.0,7e-06
22300,1.4557,1.4557,0.0,6.97e-06
22400,1.5644,1.5644,0.0,6.95e-06
22500,1.4451,1.4451,0.0,6.92e-06
22600,1.7608,1.7608,0.0,6.9e-06
22700,1.6567,1.6567,0.0,6.88e-06
22800,1.5555,1.5555,0.0,6.85e-06
22900,1.6032,1.6032,0.0,6.83e-06
23000,1.614,1.614,0.0,6.81e-06
23100,1.7053,1.7053,0.0,6.78e-06
23200,1.6339,1.6339,0.0,6.76e-06
23300,1.5158,1.5158,0.0,6.73e-06
23400,1.3923,1.3923,0.0,6.71e-06
23500,1.7228,1.7228,0.0,6.69e-06
23600,1.6693,1.6693,0.0,6.66e-06
23700,1.748,1.748,0.0,6.64e-06
23800,1.7272,1.7272,0.0,6.61e-06
23900,1.4103,1.4103,0.0,6.59e-06
24000,1.6436,1.6436,0.0,6.56e-06
24100,2.0029,2.0029,0.0,6.54e-06
24200,1.4958,1.4958,0.0,6.52e-06
24300,1.7627,1.7627,0.0,6.49e-06
24400,1.6026,1.6026,0.0,6.47e-06
24500,1.7445,1.7445,0.0,6.44e-06
