epoch,epochs_total,step,steps_total,loss,logits_loss,aux_loss,lr
1,1,1080,28304,1.8959,1.8959,0.0,9.968e-05
1,1,1090,28304,1.9207,1.9207,0.0,9.967e-05
1,1,1100,28304,1.8936,1.8936,0.0,9.967e-05
1,1,1110,28304,1.8239,1.8239,0.0,9.966e-05
1,1,1120,28304,1.7994,1.7994,0.0,9.965e-05
1,1,1130,28304,1.8337,1.8337,0.0,9.965e-05
1,1,1140,28304,1.8198,1.8198,0.0,9.964e-05
1,1,1150,28304,1.9771,1.9771,0.0,9.963e-05
1,1,1160,28304,1.9272,1.9272,0.0,9.963e-05
1,1,1170,28304,1.9461,1.9461,0.0,9.962e-05
1,1,1180,28304,1.9688,1.9688,0.0,9.961e-05
1,1,1190,28304,1.9512,1.9512,0.0,9.961e-05
1,1,1200,28304,1.9225,1.9225,0.0,9.96e-05
1,1,1210,28304,2.0353,2.0353,0.0,9.959e-05
1,1,1220,28304,1.8628,1.8628,0.0,9.959e-05
1,1,1230,28304,1.8409,1.8409,0.0,9.958e-05
1,1,1240,28304,2.0331,2.0331,0.0,9.957e-05
1,1,1250,28304,1.86,1.86,0.0,9.957e-05
1,1,1260,28304,1.9658,1.9658,0.0,9.956e-05
1,1,1270,28304,1.9216,1.9216,0.0,9.955e-05
1,1,1280,28304,1.8184,1.8184,0.0,9.955e-05
1,1,1290,28304,1.8991,1.8991,0.0,9.954e-05
1,1,1300,28304,1.9211,1.9211,0.0,9.953e-05
1,1,1310,28304,1.9207,1.9207,0.0,9.953e-05
1,1,1320,28304,1.8268,1.8268,0.0,9.952e-05
1,1,1330,28304,1.989,1.989,0.0,9.951e-05
1,1,1340,28304,1.8787,1.8787,0.0,9.95e-05
1,1,1350,28304,1.8918,1.8918,0.0,9.95e-05
1,1,1360,28304,1.9272,1.9272,0.0,9.949e-05
1,1,1370,28304,1.6869,1.6869,0.0,9.948e-05
1,1,1380,28304,2.0429,2.0429,0.0,9.947e-05
1,1,1390,28304,1.7817,1.7817,0.0,9.947e-05
1,1,1400,28304,1.8172,1.8172,0.0,9.946e-05
1,1,1410,28304,1.7999,1.7999,0.0,9.945e-05
1,1,1420,28304,1.864,1.864,0.0,9.944e-05
1,1,1430,28304,1.9706,1.9706,0.0,9.943e-05
1,1,1440,28304,1.8939,1.8939,0.0,9.943e-05
1,1,1450,28304,1.8914,1.8914,0.0,9.942e-05
1,1,1460,28304,1.8921,1.8921,0.0,9.941e-05
1,1,1470,28304,1.8622,1.8622,0.0,9.94e-05
1,1,1480,28304,1.7482,1.7482,0.0,9.939e-05
1,1,1490,28304,2.024,2.024,0.0,9.939e-05
1,1,1500,28304,1.87,1.87,0.0,9.938e-05
1,1,1510,28304,1.8694,1.8694,0.0,9.937e-05
1,1,1520,28304,1.8962,1.8962,0.0,9.936e-05
1,1,1530,28304,1.8979,1.8979,0.0,9.935e-05
1,1,1540,28304,1.8317,1.8317,0.0,9.934e-05
1,1,1550,28304,1.819,1.819,0.0,9.934e-05
1,1,1560,28304,1.9543,1.9543,0.0,9.933e-05
1,1,1570,28304,1.808,1.808,0.0,9.932e-05
1,1,1580,28304,1.848,1.848,0.0,9.931e-05
1,1,1590,28304,2.0016,2.0016,0.0,9.93e-05
1,1,1600,28304,1.8866,1.8866,0.0,9.929e-05
1,1,1610,28304,1.9375,1.9375,0.0,9.928e-05
1,1,1620,28304,1.9066,1.9066,0.0,9.927e-05
1,1,1630,28304,1.836,1.836,0.0,9.927e-05
1,1,1640,28304,1.7426,1.7426,0.0,9.926e-05
1,1,1650,28304,2.0106,2.0106,0.0,9.925e-05
1,1,1660,28304,1.8143,1.8143,0.0,9.924e-05
1,1,1670,28304,1.8747,1.8747,0.0,9.923e-05
1,1,1680,28304,1.88,1.88,0.0,9.922e-05
1,1,1690,28304,1.9253,1.9253,0.0,9.921e-05
1,1,1700,28304,1.8164,1.8164,0.0,9.92e-05
1,1,1710,28304,1.8758,1.8758,0.0,9.919e-05
1,1,1720,28304,1.8897,1.8897,0.0,9.918e-05
1,1,1730,28304,1.7567,1.7567,0.0,9.917e-05
1,1,1740,28304,1.9756,1.9756,0.0,9.916e-05
1,1,1750,28304,1.9002,1.9002,0.0,9.915e-05
1,1,1760,28304,2.0247,2.0247,0.0,9.914e-05
1,1,1770,28304,1.9017,1.9017,0.0,9.913e-05
1,1,1780,28304,1.8661,1.8661,0.0,9.912e-05
1,1,1790,28304,1.8187,1.8187,0.0,9.911e-05
1,1,1800,28304,1.8295,1.8295,0.0,9.91e-05
1,1,1810,28304,1.9305,1.9305,0.0,9.909e-05
1,1,1820,28304,1.864,1.864,0.0,9.908e-05
1,1,1830,28304,1.933,1.933,0.0,9.907e-05
1,1,1840,28304,1.7587,1.7587,0.0,9.906e-05
1,1,1850,28304,1.8706,1.8706,0.0,9.905e-05
1,1,1860,28304,1.8016,1.8016,0.0,9.904e-05
1,1,1870,28304,1.9496,1.9496,0.0,9.903e-05
1,1,1880,28304,1.7862,1.7862,0.0,9.902e-05
1,1,1890,28304,1.8506,1.8506,0.0,9.901e-05
1,1,1900,28304,1.9464,1.9464,0.0,9.9e-05
1,1,1910,28304,1.9561,1.9561,0.0,9.899e-05
1,1,1920,28304,1.9888,1.9888,0.0,9.898e-05
1,1,1930,28304,1.8772,1.8772,0.0,9.897e-05
1,1,1940,28304,1.8231,1.8231,0.0,9.896e-05
1,1,1950,28304,1.9313,1.9313,0.0,9.895e-05
1,1,1960,28304,2.0355,2.0355,0.0,9.894e-05
1,1,1970,28304,1.7552,1.7552,0.0,9.893e-05
1,1,1980,28304,1.9026,1.9026,0.0,9.892e-05
1,1,1990,28304,1.9513,1.9513,0.0,9.891e-05
1,1,2000,28304,1.8554,1.8554,0.0,9.89e-05
1,1,2010,28304,1.8836,1.8836,0.0,9.888e-05
1,1,2020,28304,1.8399,1.8399,0.0,9.887e-05
1,1,2030,28304,1.9124,1.9124,0.0,9.886e-05
1,1,2040,28304,1.811,1.811,0.0,9.885e-05
1,1,2050,28304,1.9049,1.9049,0.0,9.884e-05
1,1,2060,28304,1.8766,1.8766,0.0,9.883e-05
1,1,2070,28304,1.8152,1.8152,0.0,9.882e-05
1,1,2080,28304,1.8235,1.8235,0.0,9.881e-05
1,1,2090,28304,1.8126,1.8126,0.0,9.879e-05
1,1,2100,28304,1.825,1.825,0.0,9.878e-05
1,1,2110,28304,1.8473,1.8473,0.0,9.877e-05
1,1,2120,28304,1.8752,1.8752,0.0,9.876e-05
1,1,2130,28304,1.8498,1.8498,0.0,9.875e-05
1,1,2140,28304,1.9166,1.9166,0.0,9.874e-05
1,1,2150,28304,1.8617,1.8617,0.0,9.872e-05
1,1,2160,28304,1.919,1.919,0.0,9.871e-05
1,1,2170,28304,1.8537,1.8537,0.0,9.87e-05
1,1,2180,28304,1.9265,1.9265,0.0,9.869e-05
1,1,2190,28304,1.8794,1.8794,0.0,9.868e-05
1,1,2200,28304,1.8225,1.8225,0.0,9.867e-05
1,1,2210,28304,2.0328,2.0328,0.0,9.865e-05
1,1,2220,28304,1.9004,1.9004,0.0,9.864e-05
1,1,2230,28304,1.8002,1.8002,0.0,9.863e-05
1,1,2240,28304,1.8522,1.8522,0.0,9.862e-05
1,1,2250,28304,1.9059,1.9059,0.0,9.86e-05
1,1,2260,28304,1.8796,1.8796,0.0,9.859e-05
1,1,2270,28304,1.8644,1.8644,0.0,9.858e-05
1,1,2280,28304,1.9433,1.9433,0.0,9.857e-05
1,1,2290,28304,1.8376,1.8376,0.0,9.855e-05
1,1,2300,28304,1.8831,1.8831,0.0,9.854e-05
1,1,2310,28304,2.0143,2.0143,0.0,9.853e-05
1,1,2320,28304,1.8287,1.8287,0.0,9.852e-05
1,1,2330,28304,1.9441,1.9441,0.0,9.85e-05
1,1,2340,28304,2.0351,2.0351,0.0,9.849e-05
1,1,2350,28304,1.968,1.968,0.0,9.848e-05
1,1,2360,28304,1.8227,1.8227,0.0,9.846e-05
1,1,2370,28304,1.8777,1.8777,0.0,9.845e-05
1,1,2380,28304,1.8219,1.8219,0.0,9.844e-05
1,1,2390,28304,1.7916,1.7916,0.0,9.843e-05
1,1,2400,28304,2.0115,2.0115,0.0,9.841e-05
1,1,2410,28304,1.8293,1.8293,0.0,9.84e-05
1,1,2420,28304,1.9825,1.9825,0.0,9.839e-05
1,1,2430,28304,1.7819,1.7819,0.0,9.837e-05
1,1,2440,28304,1.7412,1.7412,0.0,9.836e-05
1,1,2450,28304,1.8868,1.8868,0.0,9.835e-05
1,1,2460,28304,1.8915,1.8915,0.0,9.833e-05
1,1,2470,28304,1.8791,1.8791,0.0,9.832e-05
1,1,2480,28304,1.9011,1.9011,0.0,9.831e-05
1,1,2490,28304,1.8551,1.8551,0.0,9.829e-05
1,1,2500,28304,1.8071,1.8071,0.0,9.828e-05
1,1,2510,28304,1.8425,1.8425,0.0,9.826e-05
1,1,2520,28304,1.9188,1.9188,0.0,9.825e-05
1,1,2530,28304,1.8095,1.8095,0.0,9.824e-05
1,1,2540,28304,1.8217,1.8217,0.0,9.822e-05
1,1,2550,28304,1.9205,1.9205,0.0,9.821e-05
1,1,2560,28304,1.8835,1.8835,0.0,9.82e-05
1,1,2570,28304,1.72,1.72,0.0,9.818e-05
1,1,2580,28304,1.7175,1.7175,0.0,9.817e-05
1,1,2590,28304,1.8681,1.8681,0.0,9.815e-05
1,1,2600,28304,1.9331,1.9331,0.0,9.814e-05
1,1,2610,28304,1.8367,1.8367,0.0,9.812e-05
1,1,2620,28304,1.8649,1.8649,0.0,9.811e-05
1,1,2630,28304,1.8372,1.8372,0.0,9.81e-05
1,1,2640,28304,1.7135,1.7135,0.0,9.808e-05
1,1,2650,28304,1.9288,1.9288,0.0,9.807e-05
1,1,2660,28304,1.744,1.744,0.0,9.805e-05
1,1,2670,28304,1.806,1.806,0.0,9.804e-05
1,1,2680,28304,1.7999,1.7999,0.0,9.802e-05
1,1,2690,28304,1.7794,1.7794,0.0,9.801e-05
1,1,2700,28304,1.857,1.857,0.0,9.799e-05
1,1,2710,28304,1.8649,1.8649,0.0,9.798e-05
1,1,2720,28304,1.797,1.797,0.0,9.796e-05
1,1,2730,28304,1.7448,1.7448,0.0,9.795e-05
1,1,2740,28304,1.8865,1.8865,0.0,9.793e-05
1,1,2750,28304,1.9785,1.9785,0.0,9.792e-05
1,1,2760,28304,1.9366,1.9366,0.0,9.79e-05
1,1,2770,28304,1.8755,1.8755,0.0,9.789e-05
1,1,2780,28304,1.8851,1.8851,0.0,9.787e-05
1,1,2790,28304,1.9105,1.9105,0.0,9.786e-05
1,1,2800,28304,2.0593,2.0593,0.0,9.784e-05
1,1,2810,28304,2.0078,2.0078,0.0,9.783e-05
1,1,2820,28304,1.7915,1.7915,0.0,9.781e-05
1,1,2830,28304,1.8168,1.8168,0.0,9.78e-05
1,1,2840,28304,1.7282,1.7282,0.0,9.778e-05
1,1,2850,28304,1.861,1.861,0.0,9.777e-05
1,1,2860,28304,1.8341,1.8341,0.0,9.775e-05
1,1,2870,28304,1.7805,1.7805,0.0,9.774e-05
1,1,2880,28304,1.7907,1.7907,0.0,9.772e-05
1,1,2890,28304,1.8273,1.8273,0.0,9.77e-05
1,1,2900,28304,1.8783,1.8783,0.0,9.769e-05
1,1,2910,28304,1.8641,1.8641,0.0,9.767e-05
1,1,2920,28304,1.9391,1.9391,0.0,9.766e-05
1,1,2930,28304,1.8725,1.8725,0.0,9.764e-05
1,1,2940,28304,1.7531,1.7531,0.0,9.763e-05
1,1,2950,28304,1.7859,1.7859,0.0,9.761e-05
1,1,2960,28304,1.871,1.871,0.0,9.759e-05
1,1,2970,28304,1.9519,1.9519,0.0,9.758e-05
1,1,2980,28304,1.9506,1.9506,0.0,9.756e-05
1,1,2990,28304,1.8727,1.8727,0.0,9.754e-05
1,1,3000,28304,1.7919,1.7919,0.0,9.753e-05
